Player,Team,Pos,Age,EXP,Type,Rights,GP,MPG,PPG,RPG,AGP,SPG,BPG,2019-2020 AAV
Meyers Leonard,MIA,C,28,8,UFA,Bird,49,20.1,6.1,5.1,1.1,0.3,0.3,"$10,250,000 "
Andre Roberson,OKC,SG,28,6,UFA,Bird,0,,,,,,,"$10,000,000 "
Matthew Dellavedova,CLE,PG,30,7,UFA,Bird,57,14.4,3.1,1.3,3.2,0.4,0,"$9,607,500 "
Jerami Grant,DEN,SF,26,5,PO,,64,26.2,11.6,3.5,1.2,0.7,0.8,"$9,115,384 "
Fred VanVleet,TOR,PG,26,4,UFA,Bird,48,35.8,17.6,3.8,6.6,1.9,0.3,"$9,000,000 "
Bogdan Bogdanovic,SAC,SG,28,3,RFA,Bird,53,28.5,14.5,3.2,3.2,1,0.3,"$9,000,000 "
E'Twaun Moore,NOP,SG,31,9,UFA,Bird,51,18.8,8.6,2.4,1.4,0.5,0.2,"$8,500,000 "
Kentavious Caldwell-Pope,LAL,SG,27,6,PO,,63,25.4,9.5,2.1,1.7,0.8,0.2,"$8,291,514 "
Joe Harris,BKN,SG,29,6,UFA,Bird,63,30.9,13.9,4.3,2.1,0.6,0.3,"$8,000,000 "
Marvin Bagley III,SAC,PF,21,1,CO,,13,25.6,14.2,7.5,0.8,0.5,0.9,"$7,930,860 "
D.J. Augustin,ORL,PG,32,12,UFA,Bird,49,24.8,10.4,2.2,4.6,0.6,0,"$7,250,000 "
Davis Bertans,WAS,SF,27,4,UFA,Bird,54,29.3,15.4,4.5,1.7,0.7,0.6,"$7,250,000 "
Jae Crowder,MIA,SF,30,8,UFA,Bird,58,29.2,10.4,6.1,2.6,1.2,0.4,"$7,000,000 "
Langston Galloway,DET,SG,28,6,UFA,Bird,66,25.8,10.3,2.3,1.5,0.7,0.2,"$7,000,000 "
Jabari Parker,SAC,PF,25,5,PO,,33,25.8,14.7,5.9,1.8,1.3,0.5,"$6,500,000 "
Josh Jackson,MEM,SF,23,3,UFA,Bird,18,19.8,10.4,3.2,1.7,1,0.5,"$6,063,680 "
Montrezl Harrell,LAC,PF,26,5,UFA,Bird,63,27.8,18.6,7.1,1.7,0.6,1.1,"$6,000,000 "
Marco Belinelli,SAS,SG,34,13,UFA,Early Bird,52,15,5.8,1.7,1.2,0.2,0,"$6,000,000 "
Brandon Ingram,NOP,SF,23,4,RFA,Bird,56,34.3,24.3,6.3,4.3,1,0.7,"$5,955,921 "
Rodney Hood,POR,SG,27,5,PO,,21,29.4,11,3.4,1.5,0.8,0.2,"$5,860,950 "
De'Aaron Fox,SAC,PG,22,2,CO,,45,31.7,20.4,4,6.8,1.4,0.5,"$5,490,960 "
Aron Baynes,PHX,C,33,8,UFA,Bird,42,22.2,11.5,5.6,1.6,0.2,0.5,"$5,323,440 "
Enes Kanter,BOS,C,28,8,PO,,51,17.5,8.2,7.7,1,0.4,0.7,"$4,886,175 "
JaMychal Green,LAC,PF,30,5,PO,,55,20.5,6.5,6.3,0.8,0.5,0.4,"$4,886,175 "
Avery Bradley,LAL,SG,29,9,PO,,49,24.2,8.6,2.3,1.3,0.9,0.1,"$4,886,175 "
Robin Lopez,MIL,C,32,11,PO,,60,14.4,5.5,2.4,0.7,0.2,0.7,"$4,886,175 "
Garrett Temple,BKN,SG,34,9,CO,,55,28.1,10.3,3.5,2.6,0.8,0.5,"$4,767,000 "
Frank Kaminsky,PHX,PF,27,4,CO,,32,22.4,11,4.9,2.2,0.4,0.3,"$4,767,000 "
Justin Holiday,IND,SG,31,7,UFA,Non-Bird,65,24.9,8.4,3.2,1.3,1.2,0.6,"$4,767,000 "
Kris Dunn,CHI,PG,26,4,RFA,Bird,51,24.9,7.3,3.6,3.4,2,0.3,"$4,372,072 "
Alex Len,SAC,C,27,7,UFA,Early Bird,49,18.3,8.3,6,1,0.4,0.9,"$4,255,000 "
JaVale McGee,LAL,C,32,11,PO,,61,16.8,6.8,5.8,0.6,0.5,1.5,"$4,100,000 "
Stanley Johnson,TOR,SF,24,4,PO,,20,4.8,1.2,1.1,0.4,0.2,0.1,"$3,713,575 "
Stanley Johnson,TOR,SF,24,5,UFA,Early Bird,20,4.8,1.2,1.1,0.4,0.2,0.1,"$3,713,575 "
